League,Season,Club,Player,Position,Points,Bonus_Points,Start_Price,End_Price
Ligue 1,2014-15,Saint-Étienne,Stéphane Ruffier,GK,163,25,5.0,5.5
Premier League,2014-15,Chelsea,Branislav Ivanović,DEF,179,16,5.5,6.1
Premier League,2014-15,Chelsea,John Terry,DEF,172,9,5.5,5.9
Serie A,2014-15,Juventus,Leonardo Bonucci,DEF,161,12,5.5,5.8
Ligue 1,2014-15,Monaco,Fabinho,DEF,159,15,5.5,5.7
La Liga,2014-15,Atlético,Diego Godín,DEF,145,4,5.0,5.3
Premier League,2014-15,Chelsea,Eden Hazard,MID,234,46,8.0,8.8
Ligue 1,2014-15,Guingamp,Claudio Beauvue,MID,196,25,7.5,7.9
Premier League,2014-15,Tottenham,Christian Eriksen,MID,157,25,6.0,6.1
La Liga,2014-15,Real Madrid,Cristiano Ronaldo,FWD,372,71,11.5,12.9
La Liga,2014-15,Barcelona,Lionel Messi,FWD,362,65,11.5,12.9
Total,-,-,-,-,2300,313,76.5,82.9
